original_index,delta,period,city
1399,-1340.09,1,GRONINGEN
1831,-122.77999999999997,1,GRONINGEN
3335,-1163.6,1,GRONINGEN
188,418.92999999999984,1,GRONINGEN
528,-2988.06,1,GRONINGEN
97,404.3199999999997,1,GRONINGEN
1169,-777.3299999999999,1,GRONINGEN
3641,-3056.71,1,GRONINGEN
3089,-910.1100000000001,1,GRONINGEN
1486,923.7800000000002,1,GRONINGEN
1789,-2073.3900000000003,1,GRONINGEN
3365,-1746.0900000000001,1,GRONINGEN
3151,279.48,1,GRONINGEN
1698,-4231.75,1,GRONINGEN
318,9019.67,1,GRONINGEN
108,-4694.5,1,GRONINGEN
2245,1914.6400000000003,1,GRONINGEN
855,959.6300000000001,1,GRONINGEN
1665,14.5,1,GRONINGEN
1902,1287.5,1,GRONINGEN
172,-3083.0,1,GRONINGEN
253,-1931.79,1,GRONINGEN
2214,6535.200000000001,1,GRONINGEN
3681,869.9099999999999,1,GRONINGEN
238,-5998.63,1,GRONINGEN
2478,-1776.75,1,GRONINGEN
433,-1814.12,1,GRONINGEN
1006,131.42000000000007,1,GRONINGEN
2479,-2396.04,1,GRONINGEN
1369,-2427.7,1,GRONINGEN
3139,-310.80999999999995,1,GRONINGEN
1244,-2937.0,1,GRONINGEN
2452,-580.3000000000002,1,GRONINGEN
1880,303.21000000000004,1,GRONINGEN
8,3219.129999999999,1,GRONINGEN
838,-5316.14,1,GRONINGEN
265,-12438.3,1,GRONINGEN
3598,-54.94999999999982,1,GRONINGEN
2806,-1189.04,1,GRONINGEN
2565,369.8499999999999,1,GRONINGEN
1942,-32.88000000000011,1,GRONINGEN
3127,-967.0,1,GRONINGEN
2820,-175.07000000000016,1,GRONINGEN
3903,-1063.22,1,GRONINGEN
532,1258.0700000000002,1,GRONINGEN
230,-3564.1,1,GRONINGEN
3004,8772.41,1,GRONINGEN
2034,224.67000000000007,1,GRONINGEN
1841,-1668.06,1,GRONINGEN
1129,2580.7,1,GRONINGEN
2945,-1738.6399999999999,1,GRONINGEN
1897,1277.06,1,GRONINGEN
3564,499.30999999999995,1,GRONINGEN
3936,-2008.78,1,GRONINGEN
3652,-854.48,1,GRONINGEN
1455,553.0500000000002,1,GRONINGEN
1103,594.3800000000001,1,GRONINGEN
1380,-1709.96,1,GRONINGEN
2369,-1922.47,1,GRONINGEN
2363,-1917.07,1,GRONINGEN
1231,-1553.52,1,GRONINGEN
896,1997.4799999999996,1,GRONINGEN
3638,-686.5,1,GRONINGEN
3608,-282.1999999999998,1,GRONINGEN
2729,-9306.0,1,GRONINGEN
2603,-3439.85,1,GRONINGEN
3948,-1404.48,1,GRONINGEN
1286,-3860.9,1,GRONINGEN
2271,-2796.4700000000003,1,GRONINGEN
3340,-1913.82,1,GRONINGEN
405,2164.3,1,GRONINGEN
3238,-1559.21,1,GRONINGEN
961,-1910.47,1,GRONINGEN
3030,442.6700000000001,1,GRONINGEN
1190,-1275.6399999999999,1,GRONINGEN
3858,728.6999999999998,1,GRONINGEN
515,-16.450000000000045,1,GRONINGEN
1129,2580.7,1,GRONINGEN
2948,-1664.21,1,GRONINGEN
2222,237.42000000000007,1,GRONINGEN
1797,-648.56,1,GRONINGEN
1565,-4437.95,1,GRONINGEN
2511,45.82999999999993,1,GRONINGEN
2656,-412.19000000000005,1,GRONINGEN
1447,3774.92,1,GRONINGEN
930,2437.11,1,GRONINGEN
3160,2.8200000000001637,1,GRONINGEN
2630,18110.08,1,GRONINGEN
47,-5712.9400000000005,1,GRONINGEN
1993,703.3800000000001,1,GRONINGEN
2635,491.59000000000015,1,GRONINGEN
3157,-78.34999999999991,1,GRONINGEN
2308,-614.1199999999999,1,GRONINGEN
1178,-1482.75,1,GRONINGEN
3003,364.44000000000005,1,GRONINGEN
1392,-652.1199999999999,1,GRONINGEN
1033,-555.45,1,GRONINGEN
1617,1728.38,1,GRONINGEN
2577,-1343.18,1,GRONINGEN
3111,-637.2800000000002,1,GRONINGEN
3178,-1583.56,1,GRONINGEN
2899,-2057.8599999999997,1,GRONINGEN
2022,3179.4399999999996,1,GRONINGEN
365,-1054.0700000000002,1,GRONINGEN
2113,-186.68000000000006,1,GRONINGEN
388,5745.709999999999,1,GRONINGEN
2703,-822.1300000000001,1,GRONINGEN
1647,-274.8000000000002,1,GRONINGEN
3092,-142.42999999999984,1,GRONINGEN
2293,-1458.71,1,GRONINGEN
3530,-189.44000000000005,1,GRONINGEN
3202,-268.5799999999999,1,GRONINGEN
3592,2245.32,1,GRONINGEN
2044,-1308.54,1,GRONINGEN
2791,-340.1999999999998,1,GRONINGEN
