original_index,delta,period,city
5101,1516,1,ROTTERDAM
5115,884,1,ROTTERDAM
5266,-5514,1,ROTTERDAM
131,259,1,ROTTERDAM
5894,674,1,ROTTERDAM
6495,731,1,ROTTERDAM
3539,-440,1,ROTTERDAM
5768,1829,1,ROTTERDAM
7662,-4045,1,ROTTERDAM
9636,-2306,1,ROTTERDAM
4138,4051,1,ROTTERDAM
1660,-532,1,ROTTERDAM
7893,470,1,ROTTERDAM
6950,-586,1,ROTTERDAM
2713,-519,1,ROTTERDAM
5604,-7694,1,ROTTERDAM
8351,-1941,1,ROTTERDAM
7481,3979,1,ROTTERDAM
1401,158,1,ROTTERDAM
1187,-279,1,ROTTERDAM
2429,-178,1,ROTTERDAM
970,310,1,ROTTERDAM
4371,-1234,1,ROTTERDAM
8573,-149,1,ROTTERDAM
809,1629,1,ROTTERDAM
1792,-2078,1,ROTTERDAM
6120,-86,1,ROTTERDAM
1939,-408,1,ROTTERDAM
1188,732,1,ROTTERDAM
2114,-8991,1,ROTTERDAM
6765,1418,1,ROTTERDAM
2014,-658,1,ROTTERDAM
4219,140,1,ROTTERDAM
9645,-1746,1,ROTTERDAM
3615,-1248,1,ROTTERDAM
8840,1053,1,ROTTERDAM
1855,-722,1,ROTTERDAM
9395,-1492,1,ROTTERDAM
7578,-130,1,ROTTERDAM
5001,884,1,ROTTERDAM
5002,172,1,ROTTERDAM
768,1098,1,ROTTERDAM
2237,-967,1,ROTTERDAM
2695,-472,1,ROTTERDAM
403,1387,1,ROTTERDAM
5683,-1710,1,ROTTERDAM
5547,-15038,1,ROTTERDAM
564,940,1,ROTTERDAM
3836,-6922,1,ROTTERDAM
3919,539,1,ROTTERDAM
